 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.core.resources.prefs , f2076b497d584588eb34a07dd0bafa169a3c3c92 , 2022-06-20 15:11:21 -0400 , MartinTheDude , MartinTheDude , Java 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.debug.ui.prefs , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.egit.core.prefs , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.jdt.core.prefs , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.jdt.junit.prefs , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.jdt.launching.prefs , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.jdt.ui.prefs , c3d23ffc376dcddc03bf374d3556060a54d0a1f5 , 2022-06-20 15:45:50 -0400 , MartinTheDude , MartinTheDude , testing nomagic API 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.jsch.core.prefs , f2076b497d584588eb34a07dd0bafa169a3c3c92 , 2022-06-20 15:11:21 -0400 , MartinTheDude , MartinTheDude , Java 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.m2e.discovery.prefs , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.ui.browser.prefs , f2076b497d584588eb34a07dd0bafa169a3c3c92 , 2022-06-20 15:11:21 -0400 , MartinTheDude , MartinTheDude , Java 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.ui.ide.prefs , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 .metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.ui.prefs , f2076b497d584588eb34a07dd0bafa169a3c3c92 , 2022-06-20 15:11:21 -0400 , MartinTheDude , MartinTheDude , Java 
